category,subcategory,name,description,price_s,price_m,price_l,price_mini,price_meg,notes

Burgers,,Chicken Burger,Grilled chicken fillet garnish cheese and fries with choice of mushroom or cheese sauce,79,99,,,,
Burgers,,Beef Burger,Beef patty garnish cheese and fries with choice of mushroom or cheese sauce,79,99,,,,
Burgers,,Wagyu Beef Burger,Wagyu beef patty garnish cheese and fries with choice of mushroom or cheese sauce,120,,,,,

Vegetarian,,Garlic Chita,Garlic base mozzarella cheese & seasoning,75,90,110,,,
Vegetarian,,Margherita,Napolitano base mozzarella cheese & seasoning,75,90,110,,,
Vegetarian,,Cheesy Trio,Feta mozzarella cheese & cheddar,85,90,110,,,
Vegetarian,,Chilli Blaster,Mushrooms peri-pineapple chillies & pepperdews,120,160,,,140,
Vegetarian,,Heathfield,Butternut mushroom baby marrow caramelized onion & pepperdews,120,160,,,140,

Steak,,Bokaap,Gheema steak coriander & green pepper,130,150,180,150,220,All megs have nachos
Steak,,Parkwood,Smokey BBQ steak & Avo,150,180,220,150,275,Avo seasonal
Steak,,Wynberg,Pepper steak mushrooms red onion & green pepper,130,150,180,150,220,
Steak,,Manenberg,Spicy steak kaapse beans peppers chillies & nachos,150,180,220,150,275,
Steak,,Newlands,Caramelized BBQ steak mushrooms feta & rocket,150,180,220,160,275,New

Meat,,Rondebosch East,Pastrami salami pineapple green pepper & avo,150,180,220,160,275,Avo seasonal
Meat,,Mitchells Plain,Smokey BBQ sausage banana caramelized onion rocket & balsamic glaze,190,235,275,165,,
Meat,,Ottery,Salami char-grilled beef patty home-made jalapeño sauce pineapple caramelized onion & fresh coriander,180,220,275,160,,
Meat,,Southfield,Pepperoni Mozzarella Cheese on Napolitana base,150,180,220,160,275,
Meat,,Lavender Hill,Ground beef jalapeño's fresh chillies and pepperdews,150,180,220,160,275,New

Chicken,,Plumstead,BBQ chicken feta & red onion,110,130,170,150,,
Chicken,,Rylands,Spicy chicken peri-pineapple & coriander,110,130,170,150,,
Chicken,,Moezna,Recco chicken mushrooms red onion & peppers,110,130,170,150,,

Gourmet,,Waterfront,Crayfish prawns pineapple pepperdews & olives,,,270,,,Seasonal
Gourmet,,Claremont,Deboned ribs butternut baby marrow red onion mushrooms feta cream cheese & pepperdews,,,220,,,
Gourmet,,Hanover Park,Flame grilled chicken in Manies Secret sauce coriander & avo,,,220,,,Avo seasonal
Gourmet,,District Six,Grilled chops mushroom red onion & feta topped with Manies Secret sauce,,,220,,,

Seafood,,Kalkbay,Braai snoek prawns green peppers onions & pepperdews,,,200,,,
Seafood,,Hout Bay,Braai snoek onions peri-pineapple chillies yoghurt sauce pepperdews & 3 cheeses,,,220,,,
Seafood,,Saldanha Bay,Creamy lemon butter mussels with tikka prawns on a cream cheese truffle garlic and herb base red onion green pepper & mushrooms,,,240,,,

Pastas,,Durbanville,Recco linguine / penne pasta with chicken & mushroom,,,165,,,Serves 2
Pastas,,Plattekloof,Linguini pasta chicken salami sausage mushrooms & parmesan cheese,,,185,,,Serves 2
Pastas,,Table View,Chopped baby tomatoes mushrooms basil & Mozzarella cheese,,,125,,,Vegetarian serves 2
Pastas,,Blouberg,Linguini pasta prawns cherry tomatoes & rockets,,,155,,,Serves 2

Grills,,Boerewors,2 pieces of Dhanya Sausage served with cheese sauce,120,,,,,
Grills,,Chicken Kebabs,Chicken kebab with choice of Lemon herb smokey BBQ Peri-Peri or Tikka,125,,,,,
Grills,,Ribs,Full or Half portion with choice of mushroom or cheese sauce,185,,,,,400G
Grills,,Ribs,Full or Half portion with choice of mushroom or cheese sauce,,285,,,,800G
Grills,,Manierito,Flamed Grilled chicken or Fried Beef egg hot chips and cheese sauce,99,,,,,
Grills,,Chicken Wings,Five whole chicken wings with choice of Lemon herb smokey BBQ Peri-Peri or Tikka,110,,,,,
